date,Atos,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Elsevier,Teradata,IBM,Splunk,"Rackspace, the #1 managed cloud company",Hays,Xcede,"IS Recruitment Ltd",Microsoft,Cisco,"Think Big, a Teradata Company","Expedia, Inc.",MuleSoft,"See More","TIBCO Software Inc.",Vodafone,"Medidata Solutions","British Gas","BAE Systems Applied Intelligence",Excelian,BlueGlue,"Talent International","CD IT Recruitment","Schneider Electric","Confidential Company - Undisclosed",GfK,Qubit.,Adobe,"Berico Technologies",Quantcast,"Transport for London",CenturyLink,"Altius: Understand | Model | Predict",DataSift,FICO™,"FICO™ | Decisions","Global {M}",FICO,Cloudera,"Cambridge Life Sciences Associates, LLC",mployability,"Digital Gurus | Digital Recruitment - Global","IC Resources","Saatchi &amp; Saatchi Synergize","Seagate Technology","Digital Gurus | Digital Recruitment London, Sydney &amp; Dubai","Rubicon Project","Thomson Reuters","Xpat Jobs.com","Job Board Enterprises BV",CareerBuilder.com,"Pivotal Software, Inc.",Sky,"KP Recruiting Group"
2015-06-30,,37,47,34,21,,21,18,15,7,7,20,,,,6,10,,6,8,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,36,47,34,22,,22,18,15,7,6,16,,,,6,10,,6,8,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,,36,40,34,22,,23,18,14,7,6,17,,,,6,10,,6,8,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,,36,28,34,22,,24,21,14,7,7,18,7,,,6,9,,6,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,,35,28,33,22,,24,21,14,7,7,18,7,,,6,9,,6,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,,35,27,33,22,,24,21,14,7,7,18,7,,,6,9,,6,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,,32,28,30,22,18,25,18,14,10,7,16,,7,,6,10,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,33,29,31,24,20,25,17,12,11,7,15,,6,,6,9,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,,33,31,30,23,20,25,19,12,11,8,16,,6,,6,9,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,32,31,31,23,19,25,19,13,9,9,15,,6,,6,8,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,,32,31,31,23,19,24,19,13,9,9,15,,6,,6,8,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,,32,31,30,23,20,24,18,13,8,9,15,,6,,6,8,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,33,28,30,24,20,23,18,13,9,9,15,,,,5,8,,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,,33,32,30,24,21,23,18,13,9,8,16,,,6,5,8,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,,34,32,30,24,22,24,18,13,9,,16,,7,6,5,8,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,34,32,29,26,22,25,19,13,9,9,15,,,6,5,8,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,34,30,28,26,22,24,19,13,9,10,15,,,6,5,8,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,40,34,30,29,26,22,23,18,13,9,10,15,,,,5,8,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,40,34,29,29,26,21,23,18,13,9,10,15,,,,5,8,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,34,31,31,26,20,23,19,12,9,10,14,,,6,5,8,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,35,31,31,25,20,22,17,11,10,10,11,,,6,5,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,39,34,31,31,25,21,21,17,11,10,8,10,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,39,33,31,30,25,21,21,18,11,10,10,9,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
